2519346184	bn	1464512569	cl	am	0
3037907924	cj	2031131977	cl	be	0
2773508730	cj	2031131977	cl	be	0
2203562801	cj	2031131977	cl	be	0
19571515	ca	2031131977	cl	aH	0
958076917	cf	2031131977	cl	aT	0
958076917	cf	2031131977	cl	aW	0
2031131977	cl	4263023486	cf	ak	0
2031131977	cl	3211942797	cl	at	0
4263023486	cf	3211942797	cl	aT	0
3528165096	bq	3602082851	cf	au	0
3602082851	cf	3211942797	cl	aT	0
3602082851	cf	3211942797	cl	aW	0
2573034714	ca	3528165096	bq	aH	0
3528165096	bq	962446804	cf	au	0
3211942797	cl	962446804	cf	ak	0
3211942797	cl	1536722286	cl	at	0
962446804	cf	1536722286	cl	aT	0
2519346184	bn	4197470781	bn	aM	0
1536722286	cl	4197470781	bn	aV	0
4197470781	bn	2942037573	cl	ae	0
2940174924	ca	2942037573	cl	aH	0
4197470781	bn	2927424376	bn	aM	0
4225726219	bq	2927424376	bn	a7	0
1536722286	cl	3761091846	cl	at	0
2927424376	bn	3761091846	cl	am	0
1668228359	ca	4225726219	bq	aH	0
2927424376	bn	199718046	bn	aM	0
4225726219	bq	199718046	bn	ar	0
4225726219	bq	199718046	bn	aO	0
4225726219	bq	1157166456	cf	au	0
1157166456	cf	3761091846	cl	aT	0
1968682360	bq	199718046	bn	a7	0
199718046	bn	3761091846	cl	am	0
887139436	ca	1968682360	bq	aH	0
199718046	bn	347392799	bn	aM	0
1968682360	bq	347392799	bn	ar	0
1968682360	bq	347392799	bn	ab	0
1968682360	bq	347392799	bn	aO	0
1968682360	bq	1197186744	cf	au	0
1197186744	cf	3761091846	cl	aT	0
1197186744	cf	3761091846	cl	aW	0
1968682360	bq	2612108336	cf	au	0
3761091846	cl	2612108336	cf	ak	0
3761091846	cl	1730788860	cl	at	0
2612108336	cf	1730788860	cl	aT	0
3212682785	bq	347392799	bn	a7	0
347392799	bn	1730788860	cl	am	0
2687372264	ca	3212682785	bq	aH	0
347392799	bn	684154047	bn	aM	0
